node,median,q1,q3,min,max,mean
ai_node_0,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_1,0.00017706094920765225,8.853047460382612e-05,0.00042253181060917014,8.048224963984193e-06,0.0017987782794504671,0.0003220360399513887
ai_node_2,0.00026156731132948626,0.0001287715994237471,0.0005110622852129963,0.0,0.002776637612574547,0.00037716235684219843
ai_node_3,4.426523730191306e-05,2.0120562409960485e-05,0.0001126751494957787,0.0,0.0014446563810351627,0.00010752428551882884
ai_node_4,0.002752492937682594,0.0023420334645194003,0.003247458772967622,0.0012152819695616132,0.00539231072586941,0.0028247136843969067
ai_node_5,0.001118703269993803,0.0007967742714344351,0.001493951758939566,0.00020120562409960482,0.0030100361365300882,0.0011737861264698073
ai_node_6,0.0014848975058550837,0.0011347997199217712,0.0019718151161761273,0.0006639785595286959,0.005078429952274026,0.0016258251442644322
ai_node_7,0.00029778432366741513,0.00017706094920765225,0.000539231072586941,4.426523730191306e-05,0.002410443376713266,0.00041384053247056364
ai_node_8,0.0002696155362934705,0.0001207233744597629,0.0004507005979831148,3.621701233792887e-05,0.001754513042148554,0.0003206090896652743
ai_node_9,0.0011710167322597001,0.0007323884717225616,0.0017062236923646489,0.00032595311104135984,0.004370186155443417,0.0012950664380970776
ai_node_10,0.0008209189463263877,0.00041850769812717807,0.0013440535689853603,9.255458708581823e-05,0.003987895469654168,0.0009595238670111307
ai_node_11,0.0004265559230911622,0.00028168787373944676,0.0006639785595286959,0.000124747486941755,0.002953698561782199,0.0005218259812798287
ai_node_12,0.0002333985239555416,0.0001126751494957787,0.000458748822947099,1.207233744597629e-05,0.002036200915888001,0.0003368689185600116
ai_node_13,0.0007122679093126011,0.0005060321446105062,0.00099797989553404,0.00018510917417163646,0.0030341808114220407,0.0007944209704549662
ai_node_14,0.0006076409847808066,0.0003621701233792887,0.000954720686352625,7.645813715784983e-05,0.003086494273687938,0.0007185068933046816
ai_node_15,0.0003541218984153045,0.00020120562409960482,0.0006036168722988145,4.024112481992097e-05,0.002386298701821313,0.0004458998317920983
ai_node_16,0.002776637612574547,0.0023168827615069497,0.0033480615850174245,0.0012514989818995421,0.006655882045214928,0.002884552237004129
ai_node_17,0.00014486804935171549,8.853047460382612e-05,0.0002333985239555416,2.414467489195258e-05,0.0012152819695616132,0.00017951807228915663
ai_node_18,0.0002575431988474942,0.00014486804935171549,0.00041045947316319386,2.8168787373944675e-05,0.002008032128514056,0.0003095580719672276
ai_node_19,0.000917497645894198,0.0007162920217945932,0.001207233744597629,0.000374242460825265,0.0037585210581806182,0.0010146356970970052
ai_node_20,0.0002414467489195258,0.00014486804935171549,0.0004064353606812018,4.426523730191306e-05,0.0019034052039822618,0.00031320955163338725
ai_node_21,0.0009094494209302139,0.0007323884717225616,0.0011347997199217712,0.0004265559230911622,0.003038204923904033,0.0009734344190388811
ai_node_22,0.00039033891075323336,0.00024949497388351,0.0005915445348528382,6.036168722988145e-05,0.0027404206002366177,0.0004628743430636373
ai_node_23,0.0002655914238114784,0.00015291627431569967,0.00043058003557315435,4.024112481992097e-05,0.0017987782794504671,0.00032316762038132494
ai_node_24,0.0004466764855011227,0.00029778432366741513,0.0006800750094566643,0.00010865103701378661,0.0027726135000925548,0.0005305462330283056
ai_node_25,0.0003581460108972966,0.00021730207402757322,0.0005875204223708461,2.0120562409960485e-05,0.0021488760653837796,0.0004408479609822054
ai_node_26,0.0006921473469026407,0.000503014060249012,0.0009617628831961111,0.00019315739913562064,0.0030301566989400486,0.0007669282339779961
ai_node_27,0.004213245768645725,0.003451682481428721,0.005082454064756018,0.0015613556430129334,0.009585435932105174,0.004328410234122865
ai_node_28,0.0007444608091685379,0.00049898994776702,0.0010502933577999371,8.048224963984194e-05,0.0027726135000925548,0.0008141544132441589
ai_node_29,0.0009859075580880637,0.0007565331466145141,0.0013480776814673524,0.0003943630232352255,0.004100570619149946,0.0011146542080144224
ai_node_30,0.002024128578442025,0.001621717330242815,0.0024748291764251393,0.0007042196843486169,0.005122695189575939,0.0020886487835107964
ai_node_31,0.00020522973658159693,0.00013581379626723326,0.00031790488607737563,4.426523730191306e-05,0.0013199088940934077,0.00025413638522023973
ai_node_32,0.00074848492165053,0.0004909417228030358,0.0010945585951018502,0.00019718151161761274,0.004120691181559907,0.0008545991581556688
ai_node_33,0.0002293744114735495,0.0001207233744597629,0.00041045947316319386,1.6096449927968387e-05,0.0018430435167523802,0.0003014052200787117
ai_node_34,0.00014889216183370756,9.657869956781032e-05,0.0002293744114735495,1.207233744597629e-05,0.001122727382475795,0.0001789724026365985
ai_node_35,0.0014305719873481905,0.0010502933577999371,0.0020170863815985388,0.0004869176103210437,0.0073077882672976475,0.0016287450402813662
ai_node_36,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_37,0.0003380254484873361,0.0002414467489195258,0.0004909417228030358,0.00015291627431569967,0.002004008016032064,0.00040192674505637775
ai_node_38,0.004044233044402057,0.003456712622031211,0.004777627544245117,0.002338009352037408,0.010197101029367973,0.0042228279852878445
ai_node_39,0.00030180843614940726,0.00020120562409960482,0.00044265237301913064,8.048224963984193e-06,0.0017867059420044909,0.00034276263370113723
ai_node_40,6.438579971187355e-05,3.219289985593677e-05,0.0001287715994237471,8.048224963984193e-06,0.0008007983839164272,0.00010011991855196335
ai_node_41,0.0007001955718666248,0.0005150863976949884,0.0009376182083041585,0.00023742263643753371,0.002579456100956934,0.0007600888524036025
ai_node_42,0.00049898994776702,0.0003168988579568776,0.0007726295965424826,7.243402467585774e-05,0.003299772235233519,0.0005938221825176458
ai_node_43,0.0006800750094566643,0.0005472792975509251,0.0008410395087363482,0.00028973609870343097,0.001871212304126325,0.0007112377365172111
ai_node_44,0.00032595311104135984,0.0002293744114735495,0.0004667970479110832,6.438579971187355e-05,0.0013078365566474314,0.0003676139427449276
ai_node_45,0.0023460575770013923,0.0017987782794504671,0.0030945424986519223,0.0007404366966865458,0.007927501589524431,0.0025573854536382
ai_node_46,0.0010945585951018502,0.0008933529710022454,0.0013440535689853603,0.0004828934978390516,0.0031790488607737564,0.0011523931396930408
ai_node_47,0.0023621540269293606,0.0019718151161761273,0.0028007822874664993,0.0008933529710022454,0.00508647817723801,0.002411229688292247
ai_node_48,0.0018108506168964436,0.001331981231539384,0.0024426362765692026,0.0004466764855011227,0.00785104345236658,0.0019670602248674056
ai_node_49,0.0005070381727310042,0.00019718151161761274,0.0009054253084482218,6.036168722988145e-05,0.003706207595914721,0.0006229672195797218
ai_node_50,0.0011428479448857554,0.000917497645894198,0.001460752830963131,0.0004265559230911622,0.003746448720734642,0.0012293800452310244
ai_node_51,0.000124747486941755,6.840991219386564e-05,0.0002132779615455811,0.0,0.0010663898077279057,0.0001622691165463457
ai_node_52,0.0005191105101769805,0.0003581460108972966,0.0007203161342765853,9.255458708581823e-05,0.0021891171902037004,0.0005694441091017376
ai_node_53,0.0009899316705700557,0.0008168948338443956,0.0012152819695616132,0.000503014060249012,0.0027363964877546256,0.0010496704251877248
ai_node_54,0.0001166992619777708,6.840991219386564e-05,0.00019718151161761274,4.024112481992097e-06,0.0007806778215064667,0.0001457259901328762
ai_node_55,0.00031388077359538355,0.00020925384906358903,0.00046277293542909114,8.048224963984194e-05,0.0010583415827639215,0.0003516003895340883
ai_node_56,0.0026398177881868153,0.0021005867155998743,0.0033239169101254716,0.00124747486941755,0.010060281204980242,0.0028123161986623848
ai_node_57,0.0007605572590965062,0.0005593516349969014,0.0010261486829079847,0.0001287715994237471,0.003380254484873361,0.0008314073930994518
ai_node_58,0.0007283643592405695,0.0005633757474788935,0.0009376182083041585,0.00027363964877546255,0.0029013850995163017,0.0007863131886262485
ai_node_59,0.00016096449927968388,8.75244464833281e-05,0.00028571198622143884,8.048224963984193e-06,0.0016136691052788307,0.00021218501259547207
ai_node_60,0.001162968507295716,0.0008802746054357712,0.0015251386306750047,0.0002655914238114784,0.0035975565589009342,0.001227195756975799
ai_node_61,0.0005271587351409647,0.00039033891075323336,0.0007323884717225616,0.00020925384906358903,0.0041247152940418995,0.0006074252923517719
ai_node_62,0.0006116650972627987,0.0004507005979831148,0.0008531118461823244,0.00016096449927968388,0.0023983710392672898,0.0006763189028659729
ai_node_63,0.0002253502989915574,0.00017706094920765225,0.00031388077359538355,8.048224963984194e-05,0.0008812806335562692,0.0002593556591093834
ai_node_64,0.00017102478048466413,0.00010060281204980241,0.00029376021118542305,4.024112481992097e-06,0.001750488929666562,0.00022411570128208226
ai_node_65,0.00030180843614940726,0.0002454708614015179,0.0003863147982712413,0.00016901272424366806,0.0011066309325478267,0.0003333816226831172
ai_node_66,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_67,0.00040241124819920965,0.0002776637612574547,0.0005915445348528382,0.000124747486941755,0.002462756838979163,0.0004709933924073047
ai_node_68,0.0007565331466145141,0.0006800750094566643,0.0008571359586643166,0.0005070381727310042,0.001082486257655874,0.0007744412519818754
ai_node_69,0.0010663898077279057,0.0008571359586643166,0.0013239330065753997,0.0004667970479110832,0.0034406161721032428,0.0011172561991452785
ai_node_70,0.0006076409847808066,0.00042957400745265633,0.0008531118461823244,8.853047460382612e-05,0.002486901513871116,0.0006708034542981545
ai_node_71,0.0002776637612574547,0.00018510917417163646,0.0004064353606812018,2.414467489195258e-05,0.0015533074180489493,0.00031932217849353324
ai_node_72,2.0120562409960485e-05,4.024112481992097e-06,4.828934978390516e-05,0.0,0.00043460414805514643,3.500092554587086e-05
ai_node_73,0.0014124634811792259,0.0012112578570796211,0.0016780549049907043,0.0007806778215064667,0.0038068104079645236,0.0014798174662578169
ai_node_74,0.0018470676292343723,0.0013883188062872734,0.0024426362765692026,0.0005995927598168224,0.006700147282516841,0.002002207628107621
ai_node_75,0.0002696155362934705,0.00015291627431569967,0.00043460414805514643,8.048224963984193e-06,0.001794754166968475,0.0003270838866487996
ai_node_76,0.005309816419988572,0.004325920918141504,0.006442604083669347,0.002012056240996048,0.014136707149238235,0.005499880886270533
ai_node_77,0.00029376021118542305,0.0002253502989915574,0.00039033891075323336,0.00010462692453179452,0.0012836918817554787,0.00032469919759197107
ai_node_78,0.0011790649572236843,0.0008410395087363482,0.0016257414427248071,0.0002776637612574547,0.004056305381848034,0.0012908789466483167
ai_node_79,0.00016901272424366806,8.853047460382612e-05,0.00028571198622143884,0.0,0.0014527046059991469,0.0002074880685064909
ai_node_80,0.00010865103701378661,5.633757474788935e-05,0.00016901272424366806,8.048224963984193e-06,0.0006881232344206485,0.00012487062478370396
ai_node_81,0.0008370153962543561,0.0005311828476229568,0.0012756436567914946,0.00016498861176167596,0.0047967420785345796,0.0009901876041239106
ai_node_82,0.0006619665032876999,0.0005150863976949884,0.0008571359586643166,0.00023742263643753371,0.0022736235523255345,0.0007136723245688163
ai_node_83,0.0008651841836283008,0.0006559303345647118,0.001166992619777708,0.00032595311104135984,0.004080450056739986,0.0009777949473243678
ai_node_84,0.0004265559230911622,0.0003380254484873361,0.0005553275225149094,0.00020120562409960482,0.0014889216183370758,0.00046763889224231593
ai_node_85,0.0005754480849248699,0.00042253181060917014,0.0007686054840604905,0.00013681982438773128,0.0019235257663922222,0.0006135612590643134
ai_node_86,0.0033883027098373453,0.0026559142381147836,0.004281655680839591,0.0012233301945255974,0.010780597339256827,0.0035972732613822026
ai_node_87,0.001002004008016032,0.0007565331466145141,0.0013480776814673524,0.00028973609870343097,0.004470788967493219,0.0011132256480833153
ai_node_88,0.000503014060249012,0.0003581460108972966,0.0007203161342765853,0.00010462692453179452,0.0022776476648075266,0.0005779333767937482
ai_node_89,0.0017384165922205857,0.0014647769434451231,0.002040225028369993,0.0008732324085922849,0.0046357775792548956,0.0017810247000024147
ai_node_90,0.0006720267844926802,0.0004869176103210437,0.0009215217583761901,0.00013681982438773128,0.003287699897787543,0.0007489219402660744
ai_node_91,0.0008410395087363482,0.0006358097721547513,0.0011106550450298187,0.0002655914238114784,0.00274444471271861,0.0009086244778714053
ai_node_92,0.0009496905457501349,0.0007967742714344351,0.0011800709853441822,0.0005311828476229568,0.003460736734513203,0.001038021424374854
ai_node_93,0.0017706094920765226,0.0014325840435891865,0.00216899662779374,0.0007444608091685379,0.004909417228030358,0.0018542047951324336
ai_node_94,4.828934978390516e-05,2.0120562409960485e-05,0.0001287715994237471,0.0,0.0015211145181930124,9.996056369767647e-05
ai_node_95,0.0005955686473348303,0.0004064353606812018,0.0008853047460382613,0.00014486804935171549,0.0030180843614940724,0.0007003621701233793
ai_node_96,0.00020925384906358903,0.0001287715994237471,0.0003299772235233519,2.8168787373944675e-05,0.0012957642192014552,0.00025040361848194384
ai_node_97,0.0009899316705700557,0.0007967742714344351,0.00124747486941755,0.0003943630232352255,0.0028128546249124755,0.001052126743446733
ai_node_98,0.0006036168722988145,0.00046277293542909114,0.0008088466088804115,0.00024949497388351,0.0025995766633668945,0.0006640236295884943
ai_node_99,6.840991219386564e-05,3.219289985593677e-05,0.00014084393686972338,0.0,0.001243450756935558,0.00010673314500486919
ai_node_100,0.00014084393686972338,7.243402467585774e-05,0.00022132618650956532,0.0,0.0003541218984153045,0.0001493847132015034
ai_node_101,0.001621717330242815,0.0013199088940934077,0.0019808693692606096,0.0006881232344206485,0.004442620180119275,0.0017010333920853753
ai_node_102,0.0008651841836283008,0.0006639785595286959,0.001126751494957787,0.0003299772235233519,0.003038204923904033,0.0009342121994994004
ai_node_103,0.00010865103701378661,5.231346226589726e-05,0.00020522973658159693,4.024112481992097e-06,0.0014285599311071944,0.0001542225012273543
ai_node_104,0.001382282637564285,0.001166992619777708,0.0016820790174726964,0.0007323884717225616,0.005440600075653315,0.001474483102751688
ai_node_105,0.0006378218283957473,0.0004667970479110832,0.000874238436712783,0.00018108506168964435,0.0028168787373944676,0.000708722666215966
ai_node_106,0.001162968507295716,0.0009617628831961111,0.0014406322685531707,0.0006116650972627987,0.003995943694618152,0.0012474764790625426
ai_node_107,0.0005794721974068619,0.00041850769812717807,0.0007927501589524431,0.00014889216183370756,0.0024225157141592422,0.0006390097464004313
ai_node_108,0.0001126751494957787,7.243402467585774e-05,0.00017706094920765225,1.207233744597629e-05,0.000708243796830609,0.00013557073987332093
ai_node_109,0.0008933529710022454,0.0007444608091685379,0.0010945585951018502,0.0005070381727310042,0.0025070220762810763,0.0009511665902085294
ai_node_110,0.00021730207402757322,0.00014084393686972338,0.00031790488607737563,2.414467489195258e-05,0.001243450756935558,0.0002448970229615858
ai_node_111,0.0004788693853570595,0.00031790488607737563,0.0006921473469026407,3.621701233792887e-05,0.002535190863655021,0.0005276512865087605
ai_node_112,0.0007766537090244746,0.0006599544470467038,0.0009335940958221664,0.00043460414805514643,0.0020522973658159693,0.0008156151660751221
ai_node_113,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_114,0.0004828934978390516,0.0003420495609693282,0.0006639785595286959,0.00010865103701378661,0.0020563214782979614,0.0005279217068675504
ai_node_115,0.0011790649572236843,0.0009527086301116289,0.0014728251684091073,0.0004909417228030358,0.003283675785305551,0.0012482153061142364
ai_node_116,0.0,0.0,8.048224963984193e-06,0.0,0.0002293744114735495,8.677596156167758e-06
ai_node_117,0.00022132618650956532,0.00013681982438773128,0.0003500977859333124,2.8168787373944675e-05,0.0014688010559271152,0.00026777168795422173
ai_node_118,0.00041850769812717807,0.00028571198622143884,0.0006036168722988145,0.00010865103701378661,0.002406419264231274,0.00047992289800484505
ai_node_119,0.00018108506168964435,0.0001126751494957787,0.00028973609870343097,2.0120562409960485e-05,0.0011830890697056764,0.00021753547255152873
ai_node_120,0.002828951074840444,0.002378250476857329,0.0034325679471392586,0.0014808733933730917,0.009621652944443103,0.0029981754674006647
ai_node_121,0.0004828934978390516,0.00034607367345132034,0.0006800750094566643,0.00017303683672566017,0.002116683165527843,0.0005443706690489412
ai_node_122,0.00316697652332778,0.0026800589130067365,0.003746448720734642,0.0013641741313953207,0.0068530635568325405,0.003269052160545992
ai_node_123,0.0016820790174726964,0.0013953610031307595,0.002032176803406009,0.0006881232344206485,0.004370186155443417,0.0017481010213197478
ai_node_124,9.255458708581823e-05,4.828934978390516e-05,0.00016096449927968388,0.0,0.0005593516349969014,0.00011520551142445536
ai_node_125,0.0012917401067194631,0.0011428479448857554,0.0015130662932290283,0.0009215217583761901,0.0033037963477155112,0.0013646071258983832
ai_node_126,0.0024426362765692026,0.002012056240996048,0.002989915574120128,0.0009054253084482218,0.006885256456688477,0.002551912660662691
ai_node_127,0.00042253181060917014,0.0003098566611133914,0.0005593516349969014,0.00010865103701378661,0.0018068265044144515,0.0004521219145117545
ai_node_128,0.001959742778730151,0.0015613556430129334,0.0024677869795816532,0.0007927501589524431,0.006080433960290058,0.0020826665378950674
ai_node_129,0.00010865103701378661,6.036168722988145e-05,0.00018913328665362853,0.0,0.0009617628831961111,0.00014020651745257583
ai_node_130,0.0003943630232352255,0.00030180843614940726,0.0005201165382974785,0.0001166992619777708,0.0014003911437332497,0.00042840701483287864
ai_node_131,0.0015855003179048861,0.0013400294565033683,0.001963766891212143,0.0009698111081600952,0.0058872765611544375,0.0017166026832782031
ai_node_132,0.000458748822947099,0.0003500977859333124,0.0006116650972627987,0.0001327957119057392,0.0018269470668244119,0.0005004692115154003
ai_node_133,0.0010181004579440005,0.0007444608091685379,0.001372222356359305,0.00015291627431569967,0.0039355820073882705,0.0011043218968056594
ai_node_134,0.0018792605290903091,0.0014527046059991469,0.002454708614015179,0.0006680026720106881,0.007142799655535972,0.0020325293156594313
ai_node_135,0.0007847019339884589,0.0005915445348528382,0.0010140763454620084,0.00014084393686972338,0.0023098405646634636,0.0008283764315780155
ai_node_136,0.0002454708614015179,0.00016901272424366806,0.00039033891075323336,8.048224963984194e-05,0.002028152690924017,0.0003153294540889007
ai_node_137,0.0031830729732557485,0.0028772404246243492,0.0035613395465630055,0.0022172859775776454,0.0064747969835252835,0.0032622803840612947
ai_node_138,0.0007565331466145141,0.0005352069601049489,0.0011066309325478267,0.0002535190863655021,0.0038631479827124127,0.0008898262388230277
ai_node_139,0.0023943469267852977,0.0019275498788742143,0.0029738191241921595,0.0007203161342765853,0.007641789603302991,0.0025179523706046632
ai_node_140,0.003376230372391369,0.002953698561782199,0.0038953408825683497,0.002032176803406009,0.00673636429485477,0.0034818222790963453
ai_node_141,0.0011750408447416922,0.0009295699833401744,0.0014688010559271152,0.0003621701233792887,0.0035613395465630055,0.0012345236658055066
ai_node_142,0.0014406322685531707,0.0011307756074397791,0.001840025432390886,0.0005110622852129963,0.006317856596727592,0.0015491867268673896
ai_node_143,0.0005352069601049489,0.0003822906857892492,0.000708243796830609,0.000124747486941755,0.001875236416608317,0.0005656662723036435
ai_node_144,0.00021730207402757322,0.00015291627431569967,0.00032192899855936776,7.645813715784983e-05,0.0014325840435891865,0.00026047677684686634
ai_node_145,0.0017786577170405067,0.001380270581323289,0.0022826778054100168,0.0004869176103210437,0.0055935163499690145,0.0018880218267861022
ai_node_146,0.0017384165922205857,0.00142051170614321,0.0021368037279378034,0.0006800750094566643,0.0047122357164127455,0.001817144328818279
ai_node_147,0.002714263869103669,0.001910447400825748,0.0035653636590449976,0.000917497645894198,0.007927501589524431,0.002825227965972105
ai_node_148,0.0009416423207861506,0.0007806778215064667,0.001162968507295716,0.0005231346226589725,0.0034406161721032428,0.0010151580268971678
ai_node_149,0.002414467489195258,0.0019315739913562063,0.0029778432366741516,0.0006680026720106881,0.006402362958849426,0.0024964322218734656
ai_node_150,0.000458748822947099,0.0003420495609693282,0.0006156892097447908,0.00016096449927968388,0.0020643697032619456,0.0005035782408189874
ai_node_151,9.657869956781032e-05,4.024112481992097e-05,0.00019416342725611866,0.0,0.0012756436567914946,0.0001433429107210405
ai_node_152,0.0023681901956523485,0.0019677910036941353,0.00292251169004676,0.0013400294565033683,0.006116650972627987,0.0025198179491513146
ai_node_153,0.0006921473469026407,0.0005070381727310042,0.0009496905457501349,0.00015291627431569967,0.003038204923904033,0.0007686561878777635
ai_node_154,0.004993923590152192,0.004292721990165069,0.00581484253647858,0.0024426362765692026,0.012289639520003863,0.005128725724541453
ai_node_155,0.002249478877433582,0.0018631640791623408,0.002745450740839108,0.0011026068200658346,0.005883252448672445,0.0023624284714006327
ai_node_156,0.0006116650972627987,0.0004667970479110832,0.0008007983839164272,0.0002293744114735495,0.0021891171902037004,0.0006592614948773049
ai_node_157,0.00028168787373944676,0.00018913328665362853,0.0004265559230911622,5.231346226589726e-05,0.001915477541428238,0.00033609789860846194
ai_node_158,0.0009617628831961111,0.0007565331466145141,0.0012233301945255974,0.0002655914238114784,0.0030502772613500095,0.0010169205881642802
ai_node_159,0.0009537146582321269,0.0007686054840604905,0.0011911372946696605,0.00041045947316319386,0.002828951074840444,0.0010128481863325043
ai_node_160,0.0014527046059991469,0.0011428479448857554,0.0018631640791623408,0.0005513034100329173,0.005472792975509251,0.0015659543987573542
ai_node_161,0.0004667970479110832,0.00031388077359538355,0.0006478821096007276,6.438579971187355e-05,0.0021448519529017876,0.0005075613073536632
ai_node_162,0.0018993810915002697,0.0015734279804589099,0.0023058164521814715,0.0008088466088804115,0.004925513677958326,0.001984589258838963
ai_node_163,0.0008128707213624036,0.0006317856596727592,0.0010583415827639215,0.0002575431988474942,0.0031388077359538356,0.0008844242702272013
ai_node_164,3.621701233792887e-05,2.0120562409960485e-05,6.036168722988145e-05,4.024112481992097e-06,0.0004869176103210437,4.997625773635625e-05
ai_node_165,0.0018873087540542933,0.0015653797554949255,0.0022977682272174874,0.0008893288585202534,0.005416455400761362,0.0019959324271032024
ai_node_166,0.0008973770834842375,0.0006881232344206485,0.0011468720573677474,0.0002454708614015179,0.002869192199660365,0.0009505895324786118
